V46 COCO-style checkpoint evaluation
====================================
run_id: reliability_p015_seed1
protocol: guard
variant: ra_full_p015
checkpoint_sha256: a59366dd0687754577d23d3e21358127199345d4ebf3a55a06472b933b57813d
split_sha256: 0cf3270c0a73d03caf8d698bb4e9ddb0adba46e688c52d8589f57ea12488881f
images: 837
gt_boxes: 1264
detections: 83700
AP@[0.50:0.95]: 0.769254
AP50: 0.959720
AP75: 0.908858
AR100: 0.829193
precision@0.50: 0.894619
recall@0.50: 0.946994
F1@0.50: 0.920061
inference_seconds: 15.012
metric_seconds: 20.818
command: C:\Users\xinnan\.conda\envs\pytorch\python.exe E:\RepViT-main\rarepdet\tools\eval_coco_map.py --run-id reliability_p015_seed1 --protocol guard --variant ra_full_p015 --model reliability --seed 1 --modality-dropout 0.15 --data D:\download\triair --split-file E:\RepViT-main\runs\component_disjoint_v40\guard.txt --weights E:\RepViT-main\runs\v41_q1_upgrade\seed1\reliability_p015_seed1\weights\best.pt --img-size 640 --device cuda --batch-size 4 --num-workers 0 --detector-score-thr 0.001 --metric-score-thr 0.50 --nms-thresh 0.6 --detections-per-img 100 --out-json E:\RepViT-main\runs\v46_coco_ablation\raw\coco\guard\reliability_p015_seed1.json
AP@0.50: 0.959720
AP@0.55: 0.957799
AP@0.60: 0.952833
AP@0.65: 0.946424
AP@0.70: 0.935460
AP@0.75: 0.908858
AP@0.80: 0.838850
AP@0.85: 0.721097
AP@0.90: 0.421570
AP@0.95: 0.049932
