V46 COCO-style checkpoint evaluation
====================================
run_id: reliability_p015_seed0
protocol: guard
variant: ra_full_p015
checkpoint_sha256: 4284aaa188cb7f065a01b6cf32b78265ab937da0de2d3423d4594d2102787436
split_sha256: 0cf3270c0a73d03caf8d698bb4e9ddb0adba46e688c52d8589f57ea12488881f
images: 837
gt_boxes: 1264
detections: 83700
AP@[0.50:0.95]: 0.789917
AP50: 0.962193
AP75: 0.925621
AR100: 0.842722
precision@0.50: 0.937451
recall@0.50: 0.936709
F1@0.50: 0.937080
inference_seconds: 14.551
metric_seconds: 20.551
command: C:\Users\xinnan\.conda\envs\pytorch\python.exe E:\RepViT-main\rarepdet\tools\eval_coco_map.py --run-id reliability_p015_seed0 --protocol guard --variant ra_full_p015 --model reliability --seed 0 --modality-dropout 0.15 --data D:\download\triair --split-file E:\RepViT-main\runs\component_disjoint_v40\guard.txt --weights E:\RepViT-main\runs\v40_expanded_adjacency_v2_compute_minimized\reliability_p015_seed0\weights\best.pt --img-size 640 --device cuda --batch-size 4 --num-workers 0 --detector-score-thr 0.001 --metric-score-thr 0.50 --nms-thresh 0.6 --detections-per-img 100 --out-json E:\RepViT-main\runs\v46_coco_ablation\raw\coco\guard\reliability_p015_seed0.json
AP@0.50: 0.962193
AP@0.55: 0.961668
AP@0.60: 0.957568
AP@0.65: 0.954279
AP@0.70: 0.943414
AP@0.75: 0.925621
AP@0.80: 0.875306
AP@0.85: 0.761511
AP@0.90: 0.496920
AP@0.95: 0.060691
