V46 COCO-style checkpoint evaluation
====================================
run_id: early_moddrop_seed2
protocol: ablation_devval
variant: early_moddrop
checkpoint_sha256: c204220f66851e96433c5bfd2d08a85bb8f7d56ec41cff351e748faca8345a60
split_sha256: 722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f
images: 2213
gt_boxes: 5867
detections: 221300
AP@[0.50:0.95]: 0.687241
AP50: 0.941444
AP75: 0.827335
AR100: 0.765280
precision@0.50: 0.881912
recall@0.50: 0.902506
F1@0.50: 0.892090
inference_seconds: 65.906
metric_seconds: 151.527
command: C:\Users\xinnan\.conda\envs\pytorch\python.exe E:\RepViT-main\rarepdet\tools\eval_coco_map.py --run-id early_moddrop_seed2 --protocol ablation_devval --variant early_moddrop --model early --seed 2 --modality-dropout 0.15 --data D:\download\triair --split-file E:\RepViT-main\reproducibility\v40_expanded_adjacency_component_split_v2\manifests\v40_expanded_adjacency_component_disjoint_val.txt --weights E:\RepViT-main\runs\v48_complete_ablation\training\early_moddrop_seed2\weights\best.pt --img-size 640 --device cuda --batch-size 4 --num-workers 0 --detector-score-thr 0.001 --metric-score-thr 0.50 --nms-thresh 0.6 --detections-per-img 100 --out-json E:\RepViT-main\runs\v48_complete_ablation\raw\devval\early_moddrop_seed2.json
AP@0.50: 0.941444
AP@0.55: 0.936533
AP@0.60: 0.925410
AP@0.65: 0.909331
AP@0.70: 0.879280
AP@0.75: 0.827335
AP@0.80: 0.727316
AP@0.85: 0.516980
AP@0.90: 0.199875
AP@0.95: 0.008908
