V46 COCO-style checkpoint evaluation
====================================
run_id: ra_static_equal_seed2
protocol: ablation_devval
variant: ra_static_equal
checkpoint_sha256: ff529328194fe5defa88017af91b5b05b605c7024acd1e39798f460dbda82247
split_sha256: 722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f
images: 2213
gt_boxes: 5867
detections: 221300
AP@[0.50:0.95]: 0.661602
AP50: 0.935266
AP75: 0.794414
AR100: 0.742117
precision@0.50: 0.920967
recall@0.50: 0.863985
F1@0.50: 0.891566
inference_seconds: 89.501
metric_seconds: 150.267
command: C:\Users\xinnan\.conda\envs\pytorch\python.exe E:\RepViT-main\rarepdet\tools\eval_coco_map.py --run-id ra_static_equal_seed2 --protocol ablation_devval --variant ra_static_equal --model ra_static_equal --seed 2 --modality-dropout 0.00 --data D:\download\triair --split-file E:\RepViT-main\reproducibility\v40_expanded_adjacency_component_split_v2\manifests\v40_expanded_adjacency_component_disjoint_val.txt --weights E:\RepViT-main\runs\v48_complete_ablation\training\ra_static_equal_seed2\weights\best.pt --img-size 640 --device cuda --batch-size 4 --num-workers 0 --detector-score-thr 0.001 --metric-score-thr 0.50 --nms-thresh 0.6 --detections-per-img 100 --out-json E:\RepViT-main\runs\v48_complete_ablation\raw\devval\ra_static_equal_seed2.json
AP@0.50: 0.935266
AP@0.55: 0.929191
AP@0.60: 0.919397
AP@0.65: 0.901329
AP@0.70: 0.863021
AP@0.75: 0.794414
AP@0.80: 0.669736
AP@0.85: 0.452096
AP@0.90: 0.147351
AP@0.95: 0.004225
