V46 COCO-style checkpoint evaluation
====================================
run_id: ra_stems_project_seed2
protocol: ablation_devval
variant: ra_stems_project
checkpoint_sha256: f7c66e6f1415fc55bbab5a5dbd7d51042e84407cb5ef6ad93e071706612c28d2
split_sha256: 722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f
images: 2213
gt_boxes: 5867
detections: 221300
AP@[0.50:0.95]: 0.694417
AP50: 0.945413
AP75: 0.845453
AR100: 0.774655
precision@0.50: 0.874352
recall@0.50: 0.920402
F1@0.50: 0.896787
inference_seconds: 89.509
metric_seconds: 152.749
command: C:\Users\xinnan\.conda\envs\pytorch\python.exe E:\RepViT-main\rarepdet\tools\eval_coco_map.py --run-id ra_stems_project_seed2 --protocol ablation_devval --variant ra_stems_project --model ra_stems_project --seed 2 --modality-dropout 0.00 --data D:\download\triair --split-file E:\RepViT-main\reproducibility\v40_expanded_adjacency_component_split_v2\manifests\v40_expanded_adjacency_component_disjoint_val.txt --weights E:\RepViT-main\runs\v48_complete_ablation\training\ra_stems_project_seed2\weights\best.pt --img-size 640 --device cuda --batch-size 4 --num-workers 0 --detector-score-thr 0.001 --metric-score-thr 0.50 --nms-thresh 0.6 --detections-per-img 100 --out-json E:\RepViT-main\runs\v48_complete_ablation\raw\devval\ra_stems_project_seed2.json
AP@0.50: 0.945413
AP@0.55: 0.940655
AP@0.60: 0.931458
AP@0.65: 0.919593
AP@0.70: 0.891885
AP@0.75: 0.845453
AP@0.80: 0.737169
AP@0.85: 0.528284
AP@0.90: 0.195883
AP@0.95: 0.008375
