V46 COCO-style checkpoint evaluation
====================================
run_id: matched_early_seed1
protocol: devval
variant: matched_early
checkpoint_sha256: 60a338ed887c15d94d3f274df39684c1dc6de68f9f29ba13f9f9cb4d6fbcd804
split_sha256: 722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f
images: 2213
gt_boxes: 5867
detections: 221300
AP@[0.50:0.95]: 0.663793
AP50: 0.938505
AP75: 0.791577
AR100: 0.745389
precision@0.50: 0.860109
recall@0.50: 0.910687
F1@0.50: 0.884676
inference_seconds: 35.889
metric_seconds: 54.394
command: C:\Users\xinnan\.conda\envs\pytorch\python.exe E:\RepViT-main\rarepdet\tools\eval_coco_map.py --run-id matched_early_seed1 --protocol devval --variant matched_early --model early --seed 1 --modality-dropout 0.00 --data D:\download\triair --split-file E:\RepViT-main\reproducibility\v40_expanded_adjacency_component_split_v2\manifests\v40_expanded_adjacency_component_disjoint_val.txt --weights E:\RepViT-main\runs\v41_q1_upgrade\seed1\matched_early_seed1\weights\best.pt --img-size 640 --device cuda --batch-size 4 --num-workers 0 --detector-score-thr 0.001 --metric-score-thr 0.50 --nms-thresh 0.6 --detections-per-img 100 --out-json E:\RepViT-main\runs\v46_coco_ablation\raw\coco\devval\matched_early_seed1.json
AP@0.50: 0.938505
AP@0.55: 0.929799
AP@0.60: 0.918022
AP@0.65: 0.896044
AP@0.70: 0.856156
AP@0.75: 0.791577
AP@0.80: 0.682524
AP@0.85: 0.465259
AP@0.90: 0.156048
AP@0.95: 0.003990
