V46 COCO-style checkpoint evaluation
====================================
run_id: matched_early_seed2
protocol: devval
variant: matched_early
checkpoint_sha256: b36b4965931da68b77a6be82e85e47b34f952445d64b941337f56a722f62737e
split_sha256: 722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f
images: 2213
gt_boxes: 5867
detections: 221300
AP@[0.50:0.95]: 0.671666
AP50: 0.932084
AP75: 0.797733
AR100: 0.749037
precision@0.50: 0.928385
recall@0.50: 0.848475
F1@0.50: 0.886633
inference_seconds: 34.189
metric_seconds: 50.088
command: C:\Users\xinnan\.conda\envs\pytorch\python.exe E:\RepViT-main\rarepdet\tools\eval_coco_map.py --run-id matched_early_seed2 --protocol devval --variant matched_early --model early --seed 2 --modality-dropout 0.00 --data D:\download\triair --split-file E:\RepViT-main\reproducibility\v40_expanded_adjacency_component_split_v2\manifests\v40_expanded_adjacency_component_disjoint_val.txt --weights E:\RepViT-main\runs\v40_expanded_adjacency_v2_compute_minimized\matched_early_seed2\weights\best.pt --img-size 640 --device cuda --batch-size 4 --num-workers 0 --detector-score-thr 0.001 --metric-score-thr 0.50 --nms-thresh 0.6 --detections-per-img 100 --out-json E:\RepViT-main\runs\v46_coco_ablation\raw\coco\devval\matched_early_seed2.json
AP@0.50: 0.932084
AP@0.55: 0.925850
AP@0.60: 0.916637
AP@0.65: 0.897520
AP@0.70: 0.861887
AP@0.75: 0.797733
AP@0.80: 0.678997
AP@0.85: 0.483451
AP@0.90: 0.208133
AP@0.95: 0.014369
