V46 COCO-style checkpoint evaluation
====================================
run_id: reliability_p015_seed0
protocol: devval
variant: ra_full_p015
checkpoint_sha256: 4284aaa188cb7f065a01b6cf32b78265ab937da0de2d3423d4594d2102787436
split_sha256: 722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f
images: 2213
gt_boxes: 5867
detections: 221300
AP@[0.50:0.95]: 0.727973
AP50: 0.954003
AP75: 0.891326
AR100: 0.792535
precision@0.50: 0.933333
recall@0.50: 0.897222
F1@0.50: 0.914921
inference_seconds: 38.259
metric_seconds: 54.128
command: C:\Users\xinnan\.conda\envs\pytorch\python.exe E:\RepViT-main\rarepdet\tools\eval_coco_map.py --run-id reliability_p015_seed0 --protocol devval --variant ra_full_p015 --model reliability --seed 0 --modality-dropout 0.15 --data D:\download\triair --split-file E:\RepViT-main\reproducibility\v40_expanded_adjacency_component_split_v2\manifests\v40_expanded_adjacency_component_disjoint_val.txt --weights E:\RepViT-main\runs\v40_expanded_adjacency_v2_compute_minimized\reliability_p015_seed0\weights\best.pt --img-size 640 --device cuda --batch-size 4 --num-workers 0 --detector-score-thr 0.001 --metric-score-thr 0.50 --nms-thresh 0.6 --detections-per-img 100 --out-json E:\RepViT-main\runs\v46_coco_ablation\raw\coco\devval\reliability_p015_seed0.json
AP@0.50: 0.954003
AP@0.55: 0.952537
AP@0.60: 0.947294
AP@0.65: 0.938695
AP@0.70: 0.924322
AP@0.75: 0.891326
AP@0.80: 0.811967
AP@0.85: 0.624461
AP@0.90: 0.227755
AP@0.95: 0.007368
